sentiment,text
negative,"RT @IPL: Will @msdhoni tell @bhogleharsha the secret to @ChennaiIPL's consistency, season after season 👀\n\n#CSKvSRH https://t.co/FMasdNUqzP"
positive,RT @IPL: Here's wishing the Master Blaster and one of the greatest legends of the game @sachin_rt a very happy birthday 😍😍\n\n#HappyBirthdayS…
negative,"RT @IPL: Will @msdhoni tell @bhogleharsha the secret to @ChennaiIPL's consistency, season after season 👀\n\n#CSKvSRH https://t.co/FMasdNUqzP"
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
neutral,RT @IPL: Suresh Raina is on fire 🔥🔥 https://t.co/vBIPbKivCy
positive,RT @MusicThaman: @ChennaiIPL first team to qualify for #Playoffs \n@IPL 2019 \n@msdhoni &amp; his team ✨🤙\n\n♥️♥️♥️♥️♥️♥️♥️\n🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏\n\n#whatatea…
neutral,"RT @IPL: Ladies and gentlemen, the man of the hour @ShaneRWatson33 all smiles for the #IPLSelfie 😊😊 https://t.co/GkySFTeste"
neutral,@asayadeepak @Maisie_Williams @im_manishpandey @SunRisers @ChennaiIPL @IPL @GameOfThrones @VVSLaxman281… https://t.co/9LWrFBoDC5
positive,@jbairstow21 amazing contribution for @SunRisers mate ! we were entertained and looking you forward to the next sea… https://t.co/LFPYQ3yJiC
positive,RT @IPL: Here's wishing the Master Blaster and one of the greatest legends of the game @sachin_rt a very happy birthday 😍😍\n\n#HappyBirthdayS…
negative,"RT @IPL: Will @msdhoni tell @bhogleharsha the secret to @ChennaiIPL's consistency, season after season 👀\n\n#CSKvSRH https://t.co/FMasdNUqzP"
negative,RT @ncvish: #unfair to record the relay catches in the final catchers name on the scoreboard as the entire hard work is done by the fielder…
positive,RT @IPL: It went down to the penultimate ball but @ShaneRWatson33's 96 ensured that @ChennaiIPL win at the Chepauk tonight!\n\n#CSKvSRH https…
neutral,"RT @IPL: Ladies and gentlemen, the man of the hour @ShaneRWatson33 all smiles for the #IPLSelfie 😊😊 https://t.co/GkySFTeste"
positive,RT @IPL: Here's wishing the Master Blaster and one of the greatest legends of the game @sachin_rt a very happy birthday 😍😍\n\n#HappyBirthdayS…
neutral,@unnam_ajay @Maisie_Williams @im_manishpandey @SunRisers @ChennaiIPL @IPL @GameOfThrones @VVSLaxman281… https://t.co/uOE4qIIuWl
neutral,@ShahZaibJanjuaa @ICC @davidwarner31 @jbairstow21 @IPL https://t.co/FAOiSDYLEV
positive,RT @IPL: Here's wishing the Master Blaster and one of the greatest legends of the game @sachin_rt a very happy birthday 😍😍\n\n#HappyBirthdayS…
neutral,"RT @IPL: What's going on, mate?\n\n#CSKvSRH https://t.co/nz9HVrh6c5"
neutral,RT @IPL: Suresh Raina is on fire 🔥🔥 https://t.co/vBIPbKivCy
neutral,RT @IPL: Daddy's girls are back here in Hyderabad 🧡🧡\n\n@SunRisers https://t.co/XsrlKGpaxZ
neutral,@IPL @msdhoni @bhogleharsha @ChennaiIPL Savage 🔥🔥🔥🔥🔥
negative,@IPL @msdhoni @bhogleharsha @ChennaiIPL Yes he is absolutely true that if he share secret everyone will tries to bu… https://t.co/dGhCmah5Rj
neutral,"RT @IPL: What's going on, mate?\n\n#CSKvSRH https://t.co/nz9HVrh6c5"
positive,RT @IPL: Here's wishing the Master Blaster and one of the greatest legends of the game @sachin_rt a very happy birthday 😍😍\n\n#HappyBirthdayS…
negative,"RT @IPL: Will @msdhoni tell @bhogleharsha the secret to @ChennaiIPL's consistency, season after season 👀\n\n#CSKvSRH https://t.co/FMasdNUqzP"
positive,"RT @IPL: .@ChennaiIPL have made it a habit to take it to the last over but finish the game, winning by 6 wickets 💛\n\n#CSKvSRH https://t.co/8…"
negative,"RT @IPL: Will @msdhoni tell @bhogleharsha the secret to @ChennaiIPL's consistency, season after season 👀\n\n#CSKvSRH https://t.co/FMasdNUqzP"
negative,"RT @ImSaravanan_P: \You can't tame a Tiger\"" that's the statement this legend @harbhajan_singh has been keep proving this @IPL season for @C…"""
neutral,@Nerolac_Paints @IPL B. AB de Villiers\n\n#IPLFever #IPL2019
neutral,@bhogleharsha This is a question to raise not to praise them. How do they make to play offs every year n again I th… https://t.co/mnzYO62GLO
positive,RT @IPL: Here's wishing the Master Blaster and one of the greatest legends of the game @sachin_rt a very happy birthday 😍😍\n\n#HappyBirthdayS…
positive,RT @IPL: Here's wishing the Master Blaster and one of the greatest legends of the game @sachin_rt a very happy birthday 😍😍\n\n#HappyBirthdayS…
negative,"RT @IPL: Will @msdhoni tell @bhogleharsha the secret to @ChennaiIPL's consistency, season after season 👀\n\n#CSKvSRH https://t.co/FMasdNUqzP"
positive,RT @IPL: Here's wishing the Master Blaster and one of the greatest legends of the game @sachin_rt a very happy birthday 😍😍\n\n#HappyBirthdayS…
negative,"RT @IPL: Will @msdhoni tell @bhogleharsha the secret to @ChennaiIPL's consistency, season after season 👀\n\n#CSKvSRH https://t.co/FMasdNUqzP"
positive,RT @IPL: Here's wishing the Master Blaster and one of the greatest legends of the game @sachin_rt a very happy birthday 😍😍\n\n#HappyBirthdayS…
positive,RT @IPL: It went down to the penultimate ball but @ShaneRWatson33's 96 ensured that @ChennaiIPL win at the Chepauk tonight!\n\n#CSKvSRH https…
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
positive,RT @MusicThaman: @ChennaiIPL first team to qualify for #Playoffs \n@IPL 2019 \n@msdhoni &amp; his team ✨🤙\n\n♥️♥️♥️♥️♥️♥️♥️\n🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏\n\n#whatatea…
positive,RT @IPL: Here's wishing the Master Blaster and one of the greatest legends of the game @sachin_rt a very happy birthday 😍😍\n\n#HappyBirthdayS…
positive,RT @CSK_Offl: CSK become the first team to qualify for playoffs in this season of IPL !😎\n\n10 Seasons !🙌\n\n10 Playoffs !💪\n\n1 Team !☝️\n\n1 Capt…
positive,RT @IPL: Here's wishing the Master Blaster and one of the greatest legends of the game @sachin_rt a very happy birthday 😍😍\n\n#HappyBirthdayS…
positive,RT @IPL: Here's wishing the Master Blaster and one of the greatest legends of the game @sachin_rt a very happy birthday 😍😍\n\n#HappyBirthdayS…
positive,RT @DHONIism: CSK become the first team to qualify for playoffs in this season of IPL. 😎\n\n10 Seasons. 💛\n10 Playoffs. 💪 https://t.co/n6whJS7…
positive,RT @IPL: Here's wishing the Master Blaster and one of the greatest legends of the game @sachin_rt a very happy birthday 😍😍\n\n#HappyBirthdayS…
